"starsign";"chinese";"moon";"blood";"fingers_crossed";"success"
"Virgo";"Dog";"Waxing (+)";"0-";0;1
"Virgo";"Snake";"Waning (-)";"B+";0;1
"Aquarius";"Rooster";"New ( )";"A+";0;0
"Scorpio";"Tiger";"Waning (-)";"0+";0;1
"Virgo";"Snake";"Waxing (+)";"0+";1;0
"Scorpio";"Dragon";"Full (O)";"AB+";0;1
"Aries";"Monkey";"Waxing (+)";"A+";0;0
"Cancer";"Rat";"Waxing (+)";"A+";0;1
"Pisces";"Tiger";"Waxing (+)";"A+";0;1
"Scorpio";"Monkey";"Waxing (+)";"AB+";0;1
"Cancer";"Rat";"Waning (-)";"A+";1;1
"Scorpio";"Dragon";"Full (O)";"0+";1;0
"Gemini";"Snake";"Waning (-)";"0-";0;1
"Cancer";"Snake";"Full (O)";"A+";0;0
"Carpicorn";"Goat";"Full (O)";"A+";0;0
"Scorpio";"Goat";"Waning (-)";"0+";1;0
"Libra";"Horse";"Waning (-)";"A+";0;1
"Saggitarius";"Monkey";"Waxing (+)";"AB+";0;1
"Carpicorn";"Monkey";"New ( )";"0-";0;1
"Carpicorn";"Dog";"Waxing (+)";"0+";0;0
"Gemini";"Dragon";"New ( )";"B+";0;1
"Aquarius";"Tiger";"Waxing (+)";"A+";0;0
"Scorpio";"Rooster";"Waxing (+)";"0+";1;0
"Saggitarius";"Dog";"New ( )";"A+";0;1
"Libra";"Horse";"Waxing (+)";"A+";0;0
"Saggitarius";"Snake";"Waning (-)";"0+";0;0
"Pisces";"Rat";"Waxing (+)";"A+";0;1
"Libra";"Horse";"Waxing (+)";"0+";0;1
"Saggitarius";"Ox";"Waxing (+)";"A+";0;0
"Carpicorn";"Snake";"Waxing (+)";"0-";0;1
"Virgo";"Rabbit";"Waning (-)";"A+";0;1
"Gemini";"Dragon";"Waning (-)";"A+";0;1
"Virgo";"Rooster";"Full (O)";"A+";0;1
"Carpicorn";"Rooster";"New ( )";"0+";0;0
"Scorpio";"Rat";"Waxing (+)";"A+";0;1
"Leo";"Horse";"Waxing (+)";"A+";0;1
"Leo";"Pig";"Waxing (+)";"0+";0;0
"Aries";"Pig";"Waning (-)";"AB-";0;0
"Saggitarius";"Dog";"Full (O)";"A+";0;1
"Leo";"Dragon";"Waning (-)";"0+";0;0
"Taurus";"Rat";"Waxing (+)";"0+";0;0
"Taurus";"Goat";"Waning (-)";"A+";0;0
"Virgo";"Horse";"Waning (-)";"0+";1;0
"Pisces";"Goat";"Waxing (+)";"A+";0;0
"Aquarius";"Horse";"Waxing (+)";"B+";0;1
"Leo";"Monkey";"Waning (-)";"A-";0;1
"Libra";"Goat";"Waning (-)";"A-";0;1
"Carpicorn";"Monkey";"Waning (-)";"A-";0;0
"Pisces";"Monkey";"Waxing (+)";"0+";0;1
"Saggitarius";"Rooster";"Waning (-)";"A+";0;1
"Scorpio";"Goat";"Waning (-)";"A+";0;1
"Pisces";"Rooster";"Waxing (+)";"0+";0;0
"Pisces";"Tiger";"Waxing (+)";"A+";1;0
"Cancer";"Snake";"Waxing (+)";"0+";1;0
"Saggitarius";"Rat";"Waxing (+)";"A+";0;1
"Gemini";"Ox";"Waxing (+)";"A+";0;0
"Leo";"Rabbit";"Full (O)";"B+";0;1
"Pisces";"Monkey";"Waning (-)";"A+";0;0
"Aquarius";"Horse";"Waxing (+)";"AB+";0;0
"Cancer";"Dog";"Waxing (+)";"B+";0;0
"Aquarius";"Ox";"Waning (-)";"B+";0;0
"Taurus";"Pig";"Full (O)";"A+";0;0
"Gemini";"Goat";"Waning (-)";"B+";0;0
"Aquarius";"Monkey";"Waning (-)";"A+";0;1
"Saggitarius";"Snake";"Waxing (+)";"0+";0;1
"Libra";"Horse";"Waxing (+)";"0+";0;1
"Aries";"Tiger";"Waxing (+)";"0-";0;1
"Aries";"Goat";"Waxing (+)";"A+";1;1
"Scorpio";"Pig";"Waning (-)";"A+";0;0
"Saggitarius";"Dragon";"Waning (-)";"AB+";0;1
"Aquarius";"Ox";"Waxing (+)";"0-";0;1
"Virgo";"Ox";"Waxing (+)";"0+";0;1
"Pisces";"Rabbit";"New ( )";"0+";0;0
"Leo";"Tiger";"Waxing (+)";"0+";0;1
"Scorpio";"Horse";"Waning (-)";"A+";0;1
"Aries";"Rooster";"Waning (-)";"AB+";0;1
"Taurus";"Dragon";"Waning (-)";"A+";1;1
"Gemini";"Goat";"Full (O)";"A-";0;1
"Libra";"Tiger";"New ( )";"A+";0;0
"Carpicorn";"Dog";"Waxing (+)";"A+";0;1
"Aquarius";"Monkey";"Waxing (+)";"0-";0;0
"Carpicorn";"Snake";"Waning (-)";"A+";1;0
"Gemini";"Snake";"Waning (-)";"0+";0;1
"Leo";"Goat";"Waning (-)";"0+";1;0
"Virgo";"Rabbit";"New ( )";"A+";0;1
"Aries";"Dragon";"Waxing (+)";"A-";1;0
"Leo";"Rabbit";"Waning (-)";"0+";0;0
"Cancer";"Tiger";"Waxing (+)";"A+";0;0
"Taurus";"Rooster";"Waning (-)";"A+";1;1
"Libra";"Rat";"Full (O)";"A-";0;1
"Aquarius";"Snake";"Full (O)";"A+";0;0
"Saggitarius";"Snake";"Waning (-)";"0+";0;1
"Gemini";"Horse";"Waxing (+)";"0-";1;1
"Aries";"Monkey";"Waning (-)";"0+";1;0
"Gemini";"Tiger";"Waxing (+)";"0+";1;1
"Carpicorn";"Monkey";"Waxing (+)";"0+";0;1
"Cancer";"Dog";"Waxing (+)";"A+";0;1
"Aries";"Pig";"Waning (-)";"A+";0;0
"Leo";"Dragon";"Waning (-)";"0+";0;1
"Cancer";"Snake";"Waxing (+)";"A+";0;1
"Saggitarius";"Dragon";"Waning (-)";"0+";0;0
"Taurus";"Snake";"New ( )";"AB+";0;0
"Taurus";"Monkey";"Waning (-)";"0+";0;0
"Aquarius";"Snake";"Waxing (+)";"0+";0;1
"Gemini";"Snake";"New ( )";"0-";0;1
"Taurus";"Dog";"Waxing (+)";"A+";0;1
"Leo";"Monkey";"New ( )";"A+";0;0
"Gemini";"Dragon";"Waning (-)";"A+";0;1
"Scorpio";"Ox";"Waxing (+)";"A+";0;0
"Carpicorn";"Rabbit";"Waning (-)";"A+";0;1
"Pisces";"Horse";"Waxing (+)";"0+";0;1
"Libra";"Snake";"Waxing (+)";"B+";0;1
"Leo";"Dragon";"Waning (-)";"A+";0;1
"Aquarius";"Rooster";"Waning (-)";"B+";0;1
"Saggitarius";"Dog";"Waxing (+)";"A+";0;0
"Aries";"Goat";"Waning (-)";"A+";1;0
"Pisces";"Tiger";"New ( )";"A+";0;0
"Aquarius";"Pig";"New ( )";"A+";0;0
"Taurus";"Rooster";"Waxing (+)";"A+";1;1
"Saggitarius";"Goat";"Waning (-)";"A-";0;0
"Virgo";"Rabbit";"Waxing (+)";"A+";0;0
"Carpicorn";"Rabbit";"Waxing (+)";"A+";0;0
"Aquarius";"Horse";"Waning (-)";"A-";1;0
"Scorpio";"Pig";"Waning (-)";"B+";0;0
"Libra";"Rooster";"Waxing (+)";"0+";0;0
"Aries";"Dog";"Waning (-)";"0+";1;0
"Aquarius";"Monkey";"Waning (-)";"A+";0;0
"Scorpio";"Tiger";"Waxing (+)";"A+";0;1
"Libra";"Horse";"Waxing (+)";"A+";1;1
"Aquarius";"Monkey";"Waning (-)";"A+";0;1
"Aquarius";"Horse";"Waxing (+)";"A+";0;0
"Cancer";"Snake";"Waning (-)";"0+";0;0
"Scorpio";"Tiger";"Waxing (+)";"0+";0;1
"Scorpio";"Rat";"Waning (-)";"A+";0;0
"Virgo";"Tiger";"Waning (-)";"A+";1;0
"Taurus";"Tiger";"New ( )";"A+";0;0
"Scorpio";"Rooster";"Full (O)";"A+";0;0
"Scorpio";"Ox";"Waning (-)";"0+";0;1
"Leo";"Dragon";"New ( )";"A+";0;1
"Taurus";"Goat";"New ( )";"AB+";0;0
"Aries";"Snake";"Waning (-)";"0+";1;0
"Libra";"Monkey";"New ( )";"0-";1;0
"Pisces";"Dog";"Waxing (+)";"A+";0;0
"Virgo";"Monkey";"Waxing (+)";"0+";0;0
"Carpicorn";"Tiger";"Waxing (+)";"A-";1;1
"Pisces";"Tiger";"Full (O)";"0+";0;0
"Virgo";"Rabbit";"New ( )";"AB+";0;1
"Leo";"Dragon";"Waning (-)";"A-";0;0
"Leo";"Dog";"Waxing (+)";"0+";0;0
"Leo";"Goat";"Waxing (+)";"0+";1;1
"Cancer";"Tiger";"Waning (-)";"B+";0;0
"Taurus";"Rabbit";"Waxing (+)";"A+";0;0
"Leo";"Tiger";"Waxing (+)";"0+";1;0
"Carpicorn";"Goat";"New ( )";"A+";0;0
"Virgo";"Dragon";"Waning (-)";"B+";0;1
"Pisces";"Rabbit";"New ( )";"B+";1;1
"Saggitarius";"Tiger";"Waning (-)";"0+";0;0
"Virgo";"Horse";"Waxing (+)";"B-";0;0
"Aries";"Rooster";"Waxing (+)";"A+";1;0
"Aries";"Goat";"Waxing (+)";"0+";0;1
"Aquarius";"Goat";"Waxing (+)";"0+";0;0
"Virgo";"Rabbit";"Waxing (+)";"B+";0;1
"Leo";"Monkey";"Waning (-)";"0+";0;1
"Gemini";"Rooster";"Waxing (+)";"0+";0;0
"Pisces";"Monkey";"Waxing (+)";"A+";0;0
"Saggitarius";"Tiger";"Waxing (+)";"0+";0;0
"Gemini";"Goat";"Waxing (+)";"0+";0;1
"Aquarius";"Rat";"New ( )";"A+";0;0
"Gemini";"Pig";"New ( )";"0+";0;1
"Taurus";"Rat";"Waxing (+)";"A-";0;0
"Gemini";"Pig";"Full (O)";"B-";0;1
"Taurus";"Rat";"Waxing (+)";"0+";0;0
"Libra";"Rooster";"Waxing (+)";"0+";0;0
"Scorpio";"Rat";"Waxing (+)";"A+";0;0
"Taurus";"Rabbit";"Waxing (+)";"B+";0;0
"Carpicorn";"Rabbit";"Waxing (+)";"B+";0;0
"Aries";"Ox";"Waning (-)";"A+";1;1
"Taurus";"Horse";"Waxing (+)";"A+";0;0
"Aquarius";"Rabbit";"Waning (-)";"B+";0;0
"Taurus";"Ox";"Full (O)";"A+";0;1
"Pisces";"Horse";"Full (O)";"AB+";1;1
"Saggitarius";"Dog";"Waxing (+)";"A+";0;0
"Libra";"Monkey";"Full (O)";"A+";1;1
"Aquarius";"Tiger";"Waxing (+)";"A+";0;1
"Pisces";"Rabbit";"New ( )";"A+";0;1
"Virgo";"Horse";"Full (O)";"0+";0;0
"Saggitarius";"Snake";"Waning (-)";"0+";0;1
"Pisces";"Goat";"Waxing (+)";"B+";0;0
"Pisces";"Tiger";"Waxing (+)";"A+";0;1
"Leo";"Pig";"Waxing (+)";"A+";0;1
"Cancer";"Rabbit";"Waning (-)";"A+";0;0
"Libra";"Rat";"Waxing (+)";"0+";0;1
"Leo";"Horse";"Waning (-)";"B-";0;1
"Pisces";"Dog";"Waning (-)";"B+";0;0
"Carpicorn";"Horse";"New ( )";"AB-";0;1
"Libra";"Goat";"Waning (-)";"A+";0;0
"Gemini";"Tiger";"Waxing (+)";"0+";0;0
"Scorpio";"Dragon";"Waning (-)";"B+";0;1
"Aries";"Dog";"Full (O)";"0+";0;1
"Cancer";"Horse";"Waxing (+)";"0-";0;0
"Saggitarius";"Snake";"Waning (-)";"A+";1;0
"Scorpio";"Rat";"Waxing (+)";"A+";0;0
"Aquarius";"Horse";"Waxing (+)";"A+";0;0
"Leo";"Dragon";"Waxing (+)";"A-";0;1
"Saggitarius";"Ox";"Full (O)";"A+";0;1
"Taurus";"Goat";"Waxing (+)";"0-";0;1
"Aries";"Rabbit";"Waxing (+)";"A+";0;0
"Gemini";"Snake";"Waxing (+)";"0+";0;1
"Leo";"Rabbit";"Waxing (+)";"A+";1;0
"Virgo";"Tiger";"Waning (-)";"0-";0;1
"Libra";"Dragon";"Waxing (+)";"B+";0;0
"Scorpio";"Rat";"Waning (-)";"A+";0;1
"Scorpio";"Dog";"Full (O)";"0+";1;0
"Pisces";"Tiger";"Waxing (+)";"A+";1;1
"Libra";"Tiger";"Waning (-)";"A+";0;0
"Scorpio";"Pig";"Waxing (+)";"0-";0;1
"Scorpio";"Monkey";"New ( )";"0+";0;0
"Libra";"Goat";"Waxing (+)";"A-";0;1
"Leo";"Rat";"Waning (-)";"A+";0;0
"Pisces";"Dragon";"Waning (-)";"A+";0;1
"Aquarius";"Dragon";"Waxing (+)";"0+";0;1
"Aries";"Horse";"Waning (-)";"0+";0;0
"Libra";"Snake";"Waning (-)";"0+";0;1
"Libra";"Snake";"Full (O)";"B+";0;0
"Libra";"Dog";"Waxing (+)";"0-";0;1
"Pisces";"Dog";"Waning (-)";"A+";0;0
"Scorpio";"Goat";"Waxing (+)";"A+";1;0
"Carpicorn";"Goat";"Waxing (+)";"A+";0;0
"Cancer";"Goat";"Waxing (+)";"B+";0;1
"Libra";"Tiger";"Full (O)";"0+";0;0
"Carpicorn";"Rabbit";"Waning (-)";"B+";0;1
"Taurus";"Dragon";"Waxing (+)";"A+";0;0
"Virgo";"Horse";"Waxing (+)";"B+";0;1
"Gemini";"Horse";"Waxing (+)";"A-";0;0
"Saggitarius";"Snake";"Waxing (+)";"0+";0;0
"Leo";"Rooster";"Waxing (+)";"A+";0;1
"Scorpio";"Pig";"Waxing (+)";"B-";0;1
"Gemini";"Rooster";"Waning (-)";"B+";0;0
"Saggitarius";"Snake";"Waxing (+)";"A+";0;0
"Gemini";"Rat";"New ( )";"A+";1;1
"Saggitarius";"Monkey";"Waxing (+)";"A+";1;0
"Virgo";"Horse";"Waxing (+)";"A+";0;1
"Saggitarius";"Snake";"Waning (-)";"0+";0;1
"Aquarius";"Rabbit";"Waxing (+)";"A-";0;1
"Aquarius";"Goat";"Waning (-)";"A+";1;0
"Cancer";"Rooster";"New ( )";"B-";0;0
"Leo";"Tiger";"Waning (-)";"A+";0;0
"Scorpio";"Dragon";"Waxing (+)";"A-";0;0
"Virgo";"Dragon";"Waning (-)";"0+";0;0
"Libra";"Rat";"Waxing (+)";"0+";0;1
"Saggitarius";"Dog";"Waning (-)";"A-";0;1
"Aquarius";"Ox";"Waning (-)";"A-";1;1
"Cancer";"Snake";"Waxing (+)";"0+";0;0
"Scorpio";"Snake";"Waxing (+)";"0-";0;1
"Pisces";"Tiger";"New ( )";"A+";0;1
"Libra";"Tiger";"Waxing (+)";"A+";0;0
"Libra";"Rooster";"Waning (-)";"0+";0;1
"Leo";"Rooster";"Waning (-)";"A+";0;0
"Libra";"Pig";"Waning (-)";"A+";0;0
"Aquarius";"Ox";"Full (O)";"A+";0;1
"Cancer";"Goat";"Waning (-)";"0+";0;1
"Pisces";"Horse";"New ( )";"A-";0;0
"Pisces";"Horse";"Waxing (+)";"0+";0;0
"Scorpio";"Horse";"Waxing (+)";"A+";0;0
"Saggitarius";"Ox";"Waning (-)";"0+";0;1
"Aries";"Tiger";"Full (O)";"A+";0;1
"Saggitarius";"Snake";"Waxing (+)";"A+";1;1
"Libra";"Dragon";"Waning (-)";"AB+";0;0
"Leo";"Rabbit";"New ( )";"0+";0;1
"Aries";"Pig";"New ( )";"0+";0;1
"Cancer";"Goat";"Waning (-)";"A+";0;0
"Libra";"Snake";"Waxing (+)";"B+";0;1
"Leo";"Snake";"Waning (-)";"0+";0;1
"Taurus";"Horse";"Waning (-)";"0+";0;1
"Aries";"Monkey";"Full (O)";"0+";0;1
"Taurus";"Goat";"Waxing (+)";"0+";0;0
"Libra";"Horse";"Waxing (+)";"A+";0;1
"Cancer";"Tiger";"Full (O)";"0+";0;1
"Aries";"Tiger";"Waning (-)";"0+";0;0
"Aries";"Rooster";"Waxing (+)";"A+";0;0
"Scorpio";"Snake";"Waning (-)";"0+";1;1
"Aries";"Snake";"Full (O)";"A+";0;1
"Carpicorn";"Tiger";"Waxing (+)";"A-";0;1
"Saggitarius";"Rat";"Waxing (+)";"0+";1;0
"Cancer";"Dog";"Waning (-)";"A-";0;0
"Saggitarius";"Snake";"Waxing (+)";"0+";0;1
"Pisces";"Ox";"Waning (-)";"0+";0;0
"Leo";"Rat";"Full (O)";"0+";0;0
"Virgo";"Snake";"Waning (-)";"A+";0;1
"Cancer";"Dog";"Waning (-)";"AB+";0;0
"Carpicorn";"Monkey";"New ( )";"0+";0;1
"Cancer";"Horse";"Waxing (+)";"A+";0;1
"Gemini";"Rabbit";"Waning (-)";"A+";0;0
"Cancer";"Rabbit";"Waning (-)";"A-";0;1
"Carpicorn";"Dragon";"Waning (-)";"B+";0;0
"Leo";"Rat";"Waxing (+)";"0+";0;0
"Carpicorn";"Pig";"Waning (-)";"A+";0;0
"Leo";"Rabbit";"Waxing (+)";"B+";0;0
"Taurus";"Rabbit";"Waning (-)";"0+";1;1
"Carpicorn";"Pig";"Full (O)";"A+";0;0
"Cancer";"Rabbit";"Waxing (+)";"B+";0;1
"Aquarius";"Goat";"Waxing (+)";"0+";0;1
"Gemini";"Rooster";"Waxing (+)";"B+";0;0
"Aries";"Ox";"Waxing (+)";"0+";1;0
"Aquarius";"Ox";"Waning (-)";"0+";0;1
"Taurus";"Horse";"Waning (-)";"A+";0;0
"Carpicorn";"Pig";"Waxing (+)";"A+";0;0
"Carpicorn";"Rat";"Waning (-)";"0-";0;1
"Cancer";"Tiger";"Waxing (+)";"0+";0;1
"Virgo";"Rat";"Waning (-)";"0+";1;1
"Virgo";"Dragon";"Waxing (+)";"0+";0;0
"Virgo";"Pig";"Waxing (+)";"A+";0;0
"Aquarius";"Rabbit";"Waxing (+)";"0-";0;0
"Taurus";"Horse";"New ( )";"A+";0;1
"Taurus";"Rabbit";"New ( )";"0+";1;0
"Libra";"Snake";"Waning (-)";"0+";0;1
"Scorpio";"Monkey";"Waxing (+)";"AB-";0;0
"Cancer";"Rabbit";"New ( )";"B-";0;1
"Saggitarius";"Rabbit";"Waning (-)";"AB+";0;1
"Saggitarius";"Snake";"New ( )";"A-";0;0
"Saggitarius";"Horse";"Waxing (+)";"A+";0;0
"Gemini";"Dog";"Waning (-)";"0+";0;1
"Gemini";"Ox";"Waning (-)";"A+";0;1
"Aries";"Goat";"Waxing (+)";"A+";1;0
"Leo";"Monkey";"Waning (-)";"0+";0;1
"Cancer";"Ox";"Waning (-)";"0+";0;0
"Carpicorn";"Rabbit";"Waxing (+)";"B+";0;1
"Virgo";"Rat";"Waning (-)";"0+";0;1
"Scorpio";"Snake";"Waning (-)";"0+";0;0
"Gemini";"Dragon";"Full (O)";"A-";0;1
"Aquarius";"Rat";"Waning (-)";"0+";0;0
"Virgo";"Pig";"Waxing (+)";"B+";0;0
"Pisces";"Rooster";"Full (O)";"0-";0;0
"Aries";"Monkey";"Waning (-)";"A+";0;1
"Scorpio";"Rat";"Waning (-)";"0+";0;0
"Virgo";"Dragon";"Full (O)";"A+";0;1
"Aries";"Tiger";"Waning (-)";"0+";1;1
"Carpicorn";"Snake";"Waxing (+)";"A+";1;0
"Scorpio";"Dragon";"Waxing (+)";"0+";0;1
"Cancer";"Rat";"Waning (-)";"A+";0;1
"Saggitarius";"Dog";"Waning (-)";"A+";0;1
"Aries";"Goat";"Waxing (+)";"0+";1;0
"Carpicorn";"Rabbit";"Waxing (+)";"A+";0;0
"Carpicorn";"Pig";"Waxing (+)";"A+";0;1
"Gemini";"Rabbit";"Full (O)";"0+";0;1
"Cancer";"Dog";"Waning (-)";"A+";1;0
"Scorpio";"Rat";"Full (O)";"A-";0;1
"Saggitarius";"Tiger";"Waning (-)";"0+";0;1
"Virgo";"Snake";"Waxing (+)";"AB+";0;1
"Virgo";"Dragon";"Waxing (+)";"0+";0;1
"Scorpio";"Dragon";"Waxing (+)";"A+";1;1
"Carpicorn";"Snake";"Waning (-)";"A+";0;1
"Libra";"Rooster";"Full (O)";"0+";0;1
"Cancer";"Tiger";"Waning (-)";"0+";0;1
"Virgo";"Goat";"Waxing (+)";"A+";0;1
"Carpicorn";"Rabbit";"Waning (-)";"0+";0;0
"Gemini";"Rooster";"Waning (-)";"0+";1;1
"Aries";"Rat";"New ( )";"0+";0;0
"Gemini";"Goat";"Waxing (+)";"A+";0;1
"Pisces";"Monkey";"New ( )";"B+";0;1
"Taurus";"Rat";"Waning (-)";"A+";0;0
"Saggitarius";"Monkey";"Waning (-)";"0+";1;0
"Saggitarius";"Rabbit";"New ( )";"A+";1;1
"Saggitarius";"Rat";"Waning (-)";"B+";0;0
"Libra";"Pig";"Full (O)";"A+";0;0
"Saggitarius";"Pig";"Waning (-)";"0+";1;1
"Carpicorn";"Rat";"Waning (-)";"A-";0;1
"Aquarius";"Snake";"Waxing (+)";"A+";1;1
"Saggitarius";"Horse";"Waxing (+)";"0+";0;1
"Saggitarius";"Snake";"Waning (-)";"A+";1;0
"Leo";"Dragon";"Waxing (+)";"A+";0;0
"Carpicorn";"Ox";"Waxing (+)";"A+";0;1
"Leo";"Dog";"Waning (-)";"A+";0;0
"Carpicorn";"Ox";"Waning (-)";"A+";0;1
"Gemini";"Monkey";"Waning (-)";"A+";0;0
"Saggitarius";"Pig";"Waxing (+)";"A+";0;0
"Cancer";"Ox";"Full (O)";"A+";0;1
"Aquarius";"Monkey";"Waxing (+)";"A+";0;0
"Aries";"Rat";"Waxing (+)";"A+";0;1
"Scorpio";"Monkey";"Waxing (+)";"0+";0;1
"Carpicorn";"Dragon";"Full (O)";"0+";0;0
"Pisces";"Tiger";"Waxing (+)";"0+";0;1
"Gemini";"Goat";"Waxing (+)";"0+";0;0
"Virgo";"Rabbit";"Waning (-)";"A+";0;1
"Taurus";"Snake";"Waning (-)";"A+";0;1
"Scorpio";"Horse";"Waxing (+)";"0+";0;0
"Leo";"Goat";"New ( )";"0+";1;0
"Scorpio";"Horse";"Waning (-)";"0+";0;1
"Carpicorn";"Monkey";"Waning (-)";"0+";0;1
"Gemini";"Dog";"Waning (-)";"0+";0;1
"Saggitarius";"Horse";"Waxing (+)";"0-";1;1
"Pisces";"Pig";"New ( )";"AB+";0;1
"Leo";"Horse";"Waning (-)";"A+";0;0
"Gemini";"Rat";"Waxing (+)";"0+";0;1
"Cancer";"Rat";"Waxing (+)";"A+";0;0
"Pisces";"Snake";"New ( )";"0+";0;0
"Saggitarius";"Rat";"Full (O)";"B+";1;1
"Gemini";"Rooster";"Waning (-)";"B+";1;0
"Carpicorn";"Goat";"New ( )";"0+";0;0
"Gemini";"Rooster";"Waning (-)";"0+";0;1
"Aries";"Dragon";"Waxing (+)";"B+";0;0
"Aquarius";"Snake";"Waxing (+)";"B+";0;1
"Libra";"Dog";"Waning (-)";"A+";0;1
"Libra";"Dog";"Waning (-)";"B+";0;1
"Virgo";"Snake";"New ( )";"0+";0;1
"Taurus";"Monkey";"Waning (-)";"A+";1;1
"Saggitarius";"Horse";"New ( )";"0+";0;1
"Aries";"Pig";"Waxing (+)";"A+";0;0
"Leo";"Monkey";"Waning (-)";"0+";0;0
"Taurus";"Rooster";"New ( )";"0+";0;0
"Aquarius";"Rabbit";"Waning (-)";"A+";0;0
"Cancer";"Dog";"New ( )";"0+";1;1
"Gemini";"Pig";"Full (O)";"0+";0;0
"Taurus";"Ox";"Waxing (+)";"0+";0;1
"Scorpio";"Rat";"Waxing (+)";"AB-";1;1
"Leo";"Rooster";"Waning (-)";"0+";0;0
"Taurus";"Rooster";"Waning (-)";"A+";0;0
"Scorpio";"Snake";"Waxing (+)";"A-";0;1
"Carpicorn";"Snake";"New ( )";"0+";0;1
"Virgo";"Rabbit";"Waxing (+)";"AB+";1;0
"Virgo";"Rat";"Waning (-)";"A-";0;0
"Leo";"Rat";"Waxing (+)";"0+";0;1
"Aries";"Ox";"Waning (-)";"A+";0;0
"Libra";"Tiger";"Waxing (+)";"B+";0;1
"Gemini";"Rabbit";"Waxing (+)";"A+";1;1
"Saggitarius";"Pig";"Waxing (+)";"0-";1;0
"Gemini";"Rooster";"Waning (-)";"0+";0;0
"Cancer";"Goat";"New ( )";"A+";0;1
"Pisces";"Pig";"New ( )";"A+";0;1
"Taurus";"Ox";"Waxing (+)";"A-";0;0
"Scorpio";"Ox";"Waning (-)";"0+";0;0
"Cancer";"Monkey";"Waxing (+)";"A+";0;1
"Taurus";"Rabbit";"Full (O)";"B-";0;1
"Taurus";"Ox";"Waning (-)";"0-";1;0
"Aquarius";"Monkey";"Waxing (+)";"A+";0;1
"Carpicorn";"Rooster";"New ( )";"B-";0;0
"Cancer";"Dog";"Waxing (+)";"0-";0;0
"Aries";"Pig";"Waxing (+)";"0+";0;1
"Saggitarius";"Goat";"Waning (-)";"B+";0;1
"Gemini";"Horse";"Waxing (+)";"AB+";0;0
"Pisces";"Rat";"Waxing (+)";"A+";0;0
"Cancer";"Monkey";"Waxing (+)";"A+";0;1
"Libra";"Ox";"Waxing (+)";"0+";1;0
"Cancer";"Rat";"Full (O)";"A+";0;0
"Carpicorn";"Rooster";"Waning (-)";"A+";0;1
"Aquarius";"Rabbit";"Waxing (+)";"B+";0;0
"Aries";"Dragon";"Waning (-)";"A-";0;0
"Scorpio";"Monkey";"Waning (-)";"A-";1;1
"Leo";"Rooster";"Waxing (+)";"AB+";0;0
"Carpicorn";"Pig";"Waxing (+)";"0+";1;1
"Cancer";"Rooster";"Waxing (+)";"0+";1;1
"Aquarius";"Rooster";"Waning (-)";"0+";0;0
"Carpicorn";"Ox";"Full (O)";"0+";0;1
"Saggitarius";"Goat";"Waning (-)";"B+";0;1
"Scorpio";"Dragon";"Waning (-)";"A+";1;1
"Carpicorn";"Rabbit";"Waning (-)";"AB-";0;0
"Saggitarius";"Rooster";"Waning (-)";"A-";0;1
"Gemini";"Tiger";"Full (O)";"0+";0;0
"Saggitarius";"Dragon";"Full (O)";"B-";0;0
"Libra";"Dragon";"Waning (-)";"A+";0;1
"Saggitarius";"Snake";"Waxing (+)";"B-";0;1
"Leo";"Dog";"Waxing (+)";"A+";0;1
"Carpicorn";"Dragon";"Waning (-)";"A+";0;1
"Gemini";"Rooster";"Waning (-)";"A+";0;1
"Gemini";"Pig";"Waxing (+)";"A+";1;1
"Gemini";"Pig";"Waxing (+)";"0+";0;1
"Carpicorn";"Goat";"Waxing (+)";"B+";0;0
"Aquarius";"Rabbit";"Waning (-)";"0-";1;1
"Aries";"Tiger";"Waxing (+)";"0+";0;1
"Gemini";"Rabbit";"Waning (-)";"0+";0;1
"Libra";"Pig";"Waning (-)";"A+";1;0
"Virgo";"Dog";"Full (O)";"A+";0;0
"Virgo";"Tiger";"Waning (-)";"B-";0;1
"Pisces";"Rooster";"Waxing (+)";"AB+";0;0
"Carpicorn";"Dragon";"Waning (-)";"0+";0;0
"Saggitarius";"Tiger";"Waxing (+)";"0+";0;0
"Pisces";"Dragon";"New ( )";"AB-";0;0
"Carpicorn";"Rooster";"Full (O)";"0+";0;0
"Libra";"Dragon";"Waning (-)";"0+";0;0
"Saggitarius";"Ox";"Waning (-)";"0+";0;0
"Carpicorn";"Pig";"New ( )";"AB+";0;1
"Libra";"Snake";"New ( )";"0+";0;0
"Leo";"Dog";"Waning (-)";"0+";1;0
"Taurus";"Tiger";"New ( )";"0+";0;0
"Leo";"Ox";"Waning (-)";"A+";0;0
"Leo";"Tiger";"Full (O)";"B-";1;1
"Leo";"Rabbit";"Full (O)";"AB-";0;0
"Gemini";"Rabbit";"Waning (-)";"0+";0;0
"Pisces";"Tiger";"Waxing (+)";"0+";0;1
"Virgo";"Goat";"Waxing (+)";"A+";0;0
"Aries";"Ox";"Waxing (+)";"0-";1;0
"Aries";"Rat";"Waning (-)";"A-";0;1
"Gemini";"Horse";"Waning (-)";"0+";0;0
"Scorpio";"Monkey";"Waning (-)";"0+";1;1
"Scorpio";"Ox";"New ( )";"0+";0;0
"Cancer";"Rabbit";"Waning (-)";"A+";0;0
"Carpicorn";"Snake";"Waxing (+)";"A+";0;0
"Aquarius";"Dragon";"Waxing (+)";"B+";1;1
